Vehicle ,RAM,storage,Trustfactor,Distance,TransmissionRate,Eligible
56,16.2,97.7375,93,51.5,18.51851852,55.3912037
57,55.8625,91.89375,51,18.5,62.96296296,56.04384259
58,19.35,87.2625,89,88.7,44.44444444,65.75138889
59,69.8375,86.3625,86,88.6,81.48148148,82.4562963
60,17.15,16.90625,49,96.3,70.37037037,49.94532407
61,67.15,20.9625,23,42.1,77.77777778,46.19805556
62,51.35,86.41875,100,82.8,62.96296296,76.70634259
63,25.475,61.875,39,77.5,11.11111111,42.99222222
64,51.075,58.64375,79,73.1,14.81481481,55.32671296
65,35.9125,56.21875,62,71.1,48.14814815,54.67587963
66,50,69.4875,72,43.5,70.37037037,61.07157407
67,35.225,73.85,29,42.6,85.18518519,53.17203704
68,97.3625,70.80625,96,64.7,40.74074074,73.92189815
69,32.25,99.13125,58,15.5,33.33333333,47.64291667
70,70.4625,93.2125,74,12.1,92.59259259,68.47351852
71,73.4625,40.3375,41,96.6,25.92592593,55.46518519
72,98.6875,98.7625,14,35.3,88.88888889,67.12777778
73,88.5875,47.9,61,59.6,51.85185185,61.78787037
74,24.2625,61.75,19,52.9,59.25925926,43.43435185
75,53.85,76.06875,28,37.2,40.74074074,47.17189815
76,28.675,36.6875,58,31.9,22.22222222,35.49694444
77,67.1625,12.1375,59,19.7,48.14814815,41.22962963
78,71.3125,59.225,83,32.6,85.18518519,66.26453704
79,63.5625,21.575,20,77.2,51.85185185,46.83787037
80,54.15,63.925,88,57,74.07407407,67.42981481
81,96.025,43.83125,39,6.5,70.37037037,51.14532407
82,67.0875,18.6,97,42.5,62.96296296,57.63009259
83,71.7625,54.75,86,9.9,37.03703704,51.88990741
84,97.425,61.55,26,22.5,33.33333333,48.16166667
85,66.725,15.3375,84,85.3,62.96296296,62.86509259
86,66.65,87.98125,53,22.2,22.22222222,50.41069444
87,78.5,60.36875,60,76.5,51.85185185,65.44412037
88,55,83.375,66,14.2,48.14814815,53.34462963
89,98.325,39.6625,92,37.6,22.22222222,57.96194444
90,47.4375,65.68125,46,44.5,44.44444444,49.61263889
91,61.3375,32.2375,45,69.1,11.11111111,43.75722222
92,13.55,86.45625,100,47.8,85.18518519,66.59828704
93,24.0875,93.875,44,6.5,55.55555556,44.80361111
94,67.45,6.7375,83,49.4,81.48148148,57.6137963
95,45.35,69.79375,18,48.9,22.22222222,40.85319444
96,62.15,51.3,83,48.3,48.14814815,58.57962963
97,49.5875,8.83125,81,69.6,11.11111111,44.02597222
98,82.7875,86.10625,81,54.3,77.77777778,76.39430556
99,30.675,22.15,91,76.9,85.18518519,61.18203704
100,92.5375,41.05,32,84.3,62.96296296,62.57009259
101,65.95,93.20625,56,46,22.22222222,56.67569444
102,55.525,25.90625,20,9.9,74.07407407,37.08106481
103,33.6625,80.825,42,53.5,11.11111111,44.21972222
104,83.525,98.525,70,63.9,77.77777778,78.74555556
105,31.7875,69.40625,80,68.1,48.14814815,59.48837963
106,13.6875,7.46875,68,16.1,29.62962963,26.97717593
107,63.1125,22.675,45,31.6,48.14814815,42.10712963
108,62.45,43.31875,12,84.5,40.74074074,48.60189815
109,19.2875,42.69375,54,22.9,51.85185185,38.14662037
110,89.9,82.5875,63,56.1,44.44444444,67.20638889
111,73.8375,48.2625,38,2.6,100,52.54
112,46.85,58.725,62,24.4,70.37037037,52.46907407
113,14.4375,82.175,14,84.6,25.92592593,44.22768519
114,16.675,49.4875,31,56.8,92.59259259,49.31101852
115,96.1625,28.5375,12,23.9,40.74074074,40.26814815
116,17.975,58.79375,50,30.6,85.18518519,48.51078704
117,18.7375,92.2375,42,11.5,51.85185185,43.26537037
118,91.375,76.525,46,83.9,62.96296296,72.15259259
119,75.45,32.48125,93,19.4,96.2962963,63.32550926
120,45.5375,10.3625,22,66.8,14.81481481,31.90296296
121,27.125,61.61875,51,58.7,96.2962963,58.94800926
122,70.825,33.79375,17,19.6,66.66666667,41.57708333
123,96.3125,67.225,69,99.9,88.88888889,84.26527778
124,15.875,37.2875,44,44.4,29.62962963,34.23842593
125,34.625,54.83125,17,25.7,85.18518519,43.46828704
126,14.55,76.6875,44,66.9,88.88888889,58.20527778
127,59.4375,43.24375,87,26.7,96.2962963,62.53550926
128,70.45,23.48125,77,7.3,11.11111111,37.86847222
129,24.5875,78.75625,55,62.7,29.62962963,50.13467593
130,36.125,7.675,97,7.2,77.77777778,45.15555556
131,43.3125,61.4375,17,90.8,59.25925926,54.36185185
132,60.9125,81.85625,40,92.6,18.51851852,58.7774537
133,87.175,40.95625,60,22.4,77.77777778,57.66180556
134,24.8375,73.68125,84,64.6,55.55555556,60.53486111
135,92.775,61.38125,96,30.9,59.25925926,68.06310185
136,85.5625,49.85,61,81.9,85.18518519,72.69953704
137,66.1875,69.075,44,64.9,48.14814815,58.46212963
138,75.3875,42.15,78,4.3,18.51851852,43.6712037
139,20.4,49.7375,59,7.3,96.2962963,46.54675926
140,36.8875,83.225,98,78,81.48148148,75.5187963
141,51.95,99.7,80,23.8,92.59259259,69.60851852
142,33.9625,98.19375,92,65.3,70.37037037,71.96532407
143,43.0875,25.8375,16,22.4,29.62962963,27.39092593
144,86.7,31.3125,64,57.4,70.37037037,61.95657407
145,96.025,75.99375,65,85.7,88.88888889,82.32152778
146,28.125,25.75625,100,76.5,25.92592593,51.26143519
147,44.5,20.53125,63,91.7,74.07407407,58.76106481
148,52.65,77.5875,22,77.4,77.77777778,61.48305556
149,41.9875,48.2875,54,46.9,22.22222222,42.67944444
150,92.85,50.95,25,6.1,37.03703704,42.38740741
151,17.75,37.70625,32,37.1,25.92592593,30.09643519
152,16.325,97.56875,33,33.4,81.48148148,52.3550463
153,48.325,9.11875,96,30.5,81.48148148,53.0850463
154,23.725,60.5,72,15.9,85.18518519,51.46203704
155,81.125,17.1,56,12.2,55.55555556,44.39611111
156,40.275,13.275,98,9.6,70.37037037,46.30407407
157,33.9,97.21875,95,92.6,14.81481481,66.70671296
158,77.5875,70.85625,18,43.9,74.07407407,56.88356481
159,25.3125,60.94375,81,17.7,66.66666667,50.32458333
160,53.35,24.9375,23,62.9,25.92592593,38.02268519
161,95.0625,83.7375,74,84.4,44.44444444,76.32888889
162,86.975,7.3125,59,32.9,11.11111111,39.45972222
163,74.05,57.41875,93,84.8,70.37037037,75.92782407
164,29.7375,58.1,84,34.1,66.66666667,54.52083333
165,53.5,35.275,77,70.5,92.59259259,65.77351852
166,62.55,65.7875,93,35.8,48.14814815,61.05712963
167,29.925,16.975,11,79,37.03703704,34.78740741
168,50.3625,65.25625,12,57.1,18.51851852,40.6474537
169,39.2875,22.9125,19,24.2,88.88888889,38.85777778
170,19.5375,53.75,36,10.7,29.62962963,29.92342593
171,26.4625,22.3125,38,81.5,44.44444444,42.54388889
172,16.3625,80.8875,37,91.3,22.22222222,49.55444444
173,63.2,56.51875,75,3.5,77.77777778,55.19930556
174,31.0375,35.89375,45,82.5,33.33333333,45.55291667
175,19.6875,29.35625,72,69.4,18.51851852,41.7924537
176,82.9625,30.3125,85,87.9,85.18518519,74.27203704
177,63.95,85.93125,52,4.1,81.48148148,57.4925463
178,40.125,46.2625,71,90.9,51.85185185,60.02787037
179,53.825,98.45,58,16.9,37.03703704,52.84240741
180,48.8875,99.7125,24,97.6,96.2962963,73.29925926
181,70.6875,87.075,40,14.7,33.33333333,49.15916667
182,52.6125,98.54375,89,41.5,70.37037037,70.40532407
183,56.375,11.825,97,82,40.74074074,57.58814815
184,22.225,20.7375,99,23.9,62.96296296,45.76509259
185,28.3625,69.3125,72,95,92.59259259,71.45351852
186,45.825,50.36875,41,64,77.77777778,55.79430556
187,17.7375,86.125,76,28.1,81.48148148,57.8887963
188,13.2625,87.26875,12,34.1,22.22222222,33.77069444
189,27.575,92.9125,98,62.9,85.18518519,73.31453704
190,84.025,61.35,55,29.1,44.44444444,54.78388889
191,29.85,90.39375,55,31.7,11.11111111,43.61097222
192,81.2,72.3375,61,50.6,48.14814815,62.65712963
193,86.025,73.8625,13,75.4,77.77777778,65.21305556
194,43.5125,86.05625,67,6.3,85.18518519,57.61078704
195,32.6625,18.86875,22,89.3,40.74074074,40.71439815
196,57.9,98.025,50,19.8,66.66666667,58.47833333
197,91.6,62.75625,90,83.5,18.51851852,69.2749537
198,26.2625,66.475,46,64.8,92.59259259,59.22601852
199,41.45,84.98125,78,57,85.18518519,69.32328704
200,64.9625,67.60625,91,13.7,85.18518519,64.49078704
201,40.375,41.3625,71,12.9,100,53.1275
202,85.675,19.075,83,39.8,48.14814815,55.13962963
203,27.6,22.00625,78,75.5,11.11111111,42.84347222
204,53.125,40.75,44,7.6,96.2962963,48.35425926
205,94.6125,42.80625,30,37.4,44.44444444,49.85263889
206,26.375,28.8875,97,31.3,18.51851852,40.4162037
207,26.5625,66.05,55,62.3,77.77777778,57.53805556
208,95.6375,84.825,95,12.7,88.88888889,75.41027778
209,99.025,60.70625,51,3.4,37.03703704,50.23365741
210,17.05,51.1625,70,8,100,49.2425
211,74.9,24.4375,41,22.5,48.14814815,42.19712963
212,69.8375,83.36875,21,55,85.18518519,62.87828704
213,36.8,55.70625,38,71.5,100,60.40125
214,89.1875,19.9,45,44.6,70.37037037,53.81157407
215,60.6375,79.4875,66,69.9,66.66666667,68.53833333
216,45.25,10.56875,57,55.7,66.66666667,47.03708333
217,69,62.71875,66,10.9,29.62962963,47.64967593
218,100,99.96875,32,56.2,92.59259259,76.15226852
219,96.45,43.50625,46,41.8,29.62962963,51.47717593
220,17.525,66.81875,39,10.6,96.2962963,46.04800926
221,92.4375,67.15625,89,27.1,70.37037037,69.21282407
222,13.55,60.18125,37,81.2,33.33333333,45.05291667
223,94.275,13.91875,64,46.9,11.11111111,46.04097222
224,96.2375,90.49375,79,93.7,81.48148148,88.1825463
225,21.2375,48.56875,76,89.6,22.22222222,51.52569444
226,19.225,34.725,50,95.3,18.51851852,43.5537037
227,84.6625,48.35,52,22.7,100,61.5425
228,89.45,35.01875,100,77.4,70.37037037,74.44782407
229,29.925,12.35625,85,55.9,37.03703704,44.04365741
230,96.1375,90.775,15,12.1,100,62.8025
231,90.875,11.6125,27,61.4,29.62962963,44.10342593
232,77.0625,80.15,72,94,11.11111111,66.86472222
233,45.1125,36.64375,85,37.7,11.11111111,43.11347222
234,68.575,21.13125,75,15.7,33.33333333,42.74791667
235,16.6,85.425,59,61.3,100,64.465
236,18.1625,97.35,78,20.1,88.88888889,60.50027778
237,30.9625,95.63125,30,98.9,81.48148148,67.3950463
238,40.3375,33.79375,54,53.7,74.07407407,51.18106481
239,42.4875,37.39375,67,22.7,29.62962963,39.84217593
240,89.775,67.9,22,21.1,44.44444444,49.04388889
241,91.4,20.01875,37,37.8,55.55555556,48.35486111
242,82.025,86.4625,93,93.7,66.66666667,84.37083333
243,53.15,77.6,48,46.1,59.25925926,56.82185185
244,68.475,33.18125,42,18,29.62962963,38.25717593
245,70.8375,12.14375,19,77.4,51.85185185,46.24662037
246,21,21.96875,62,89.9,44.44444444,47.86263889
247,66.3625,49.03125,52,68,44.44444444,55.96763889
248,21.625,34.85625,33,56.3,96.2962963,48.41550926
249,71.3375,46.78125,99,4.5,11.11111111,46.54597222
250,48.7,19.35,11,68.6,14.81481481,32.49296296
251,96.1875,53.00625,93,67.2,77.77777778,77.43430556
252,35.125,79.48125,41,22.8,81.48148148,51.9775463
253,63.4625,85.3125,43,16.5,96.2962963,60.91425926
254,43.8,14.5,59,95.1,44.44444444,51.36888889
255,45.1375,45.39375,55,35.7,88.88888889,54.02402778
256,96.925,84.6875,81,85.8,70.37037037,83.75657407
257,63.1,34.85,76,85.8,51.85185185,62.32037037
258,14.0625,89.225,14,70.4,18.51851852,41.2412037
259,21.4875,53.1125,98,31.2,70.37037037,54.83407407
260,34.0125,77.8,33,52.5,70.37037037,53.53657407
261,89.2,8.325,39,1.6,25.92592593,32.81018519
262,21.3125,46.0625,67,31.5,81.48148148,49.4712963
263,42.7625,66.8625,58,47.7,11.11111111,45.28722222
264,75.7125,72.60625,42,87.3,85.18518519,72.56078704
265,82.8375,71.6,91,49.8,14.81481481,62.01046296
266,27.5875,10.28125,11,24.3,88.88888889,32.41152778
267,70.2875,9.30625,89,88,77.77777778,66.87430556
268,21.5375,94.40625,76,85.7,48.14814815,65.15837963
269,61.9625,65.69375,43,85.7,22.22222222,55.71569444
270,72.1375,78.6,22,41.3,48.14814815,52.43712963
271,86.9375,38.00625,20,81.3,59.25925926,57.10060185
272,44.525,7.93125,59,64.3,92.59259259,53.66976852
273,58.1625,34.98125,85,40.7,77.77777778,59.32430556
274,34.2125,12.80625,39,85.7,88.88888889,52.12152778
275,27.3,76.51875,44,89.6,55.55555556,58.59486111
276,57.575,47.1625,97,85.2,100,77.3875
277,71.05,30.58125,76,62.5,18.51851852,51.7299537
278,45,59.24375,91,65.4,29.62962963,58.05467593
279,95.6,94.60625,76,49.3,18.51851852,66.8049537
280,48.5625,51.275,80,53.5,66.66666667,60.00083333
281,67.8375,38.65,16,79.6,14.81481481,43.38046296
282,67.45,14.00625,12,96.2,14.81481481,40.89421296
283,90.1125,70.66875,97,7.4,37.03703704,60.44365741
284,88.375,61.48125,42,82,18.51851852,58.4749537
285,52.6,13.3125,52,72.7,70.37037037,52.19657407
286,30.2625,72.825,56,86.5,40.74074074,57.26564815
287,95.5,45.65625,11,76.9,11.11111111,48.03347222
288,37.025,62.78125,53,37,22.22222222,42.40569444
289,76.3875,77.40625,85,35.9,55.55555556,66.04986111
290,78.625,54.25,30,65.2,25.92592593,50.80018519
291,33.3625,9.80625,28,86.7,44.44444444,40.46263889
292,33.6,79.74375,60,12,37.03703704,44.47615741
293,56.1625,35.6875,62,25.8,48.14814815,45.55962963
294,49.3125,88.7375,10,91.6,51.85185185,58.30037037
295,62.375,85.35,82,14.6,48.14814815,58.49462963
296,22.55,30.725,38,80.5,59.25925926,46.20685185
297,28.7375,22.03125,81,61.1,85.18518519,55.61078704
298,94.75,63.9375,83,56.9,33.33333333,66.38416667
299,32.625,78.7,69,78.9,22.22222222,56.28944444
300,50.8,54.39375,52,82.2,81.48148148,64.1750463
301,94.95,71.3625,72,62.7,66.66666667,73.53583333
302,97.0125,7.7125,85,6.2,88.88888889,56.96277778
303,67.225,15.46875,40,5.2,62.96296296,38.17134259
304,14.825,37.8875,49,60.1,70.37037037,46.43657407
305,18.55,31.61875,68,17,62.96296296,39.62634259
306,61.8375,12.48125,14,2.3,70.37037037,32.19782407
307,79.6375,86.89375,33,52.2,22.22222222,54.79069444
308,20.75,18.10625,10,22,55.55555556,25.28236111
309,71.025,38.58125,36,33.7,18.51851852,39.5649537
310,72.6375,46.6375,77,95.3,55.55555556,69.42611111
311,31.9875,36.84375,26,65.6,59.25925926,43.93810185
312,54.375,78.825,49,72,48.14814815,60.46962963
313,35.25,77.525,51,25.1,48.14814815,47.40462963
314,41.575,73.85625,39,38.1,74.07407407,53.32106481
315,19.975,70.99375,65,40.7,62.96296296,51.92634259
316,99.2125,32.45,64,47,37.03703704,55.93990741
317,92.5625,97.58125,77,21.8,66.66666667,71.12208333
318,62.9625,49.15625,41,19,77.77777778,49.97930556
319,56.05,35.2625,99,95.5,74.07407407,71.97731481
320,82.0375,27.04375,48,76,37.03703704,54.02365741
321,34.725,92.91875,96,45.8,44.44444444,62.77763889
322,18.8125,39.7,67,90.4,14.81481481,46.14546296
323,81.3,20.61875,67,49.9,25.92592593,48.94893519
324,59.625,90.33125,99,65.6,18.51851852,66.6149537
325,50.45,43.4375,39,52,51.85185185,47.34787037
326,74.725,47.275,48,12.5,18.51851852,40.2037037
327,51.775,23.1375,61,57.2,81.48148148,54.9187963
328,40.075,87.4625,75,64.9,40.74074074,61.63564815
329,33.9,55.9625,89,44.7,37.03703704,52.11990741
330,69.3875,94.6375,37,17.5,18.51851852,47.4087037
331,76.95,67.825,64,6.5,88.88888889,60.83277778
332,54.075,34.8625,92,44,18.51851852,48.6912037
333,94.1125,92.6375,20,18.3,33.33333333,51.67666667
334,55.625,92.71875,60,35,85.18518519,65.70578704
335,83.025,52.01875,96,64.1,92.59259259,77.54726852
336,51.4,23.26875,11,22.2,22.22222222,26.01819444
337,35.475,20.175,11,29.3,14.81481481,22.15296296
338,65.4625,65.4875,76,27,70.37037037,60.86407407
339,66.2125,73.5,82,56.9,66.66666667,69.05583333
340,29.5875,12.21875,38,70.1,62.96296296,42.57384259
341,94.3375,76.6625,35,38.7,88.88888889,66.71777778
342,28.375,13.1,85,54,81.48148148,52.3912963
343,30.8,89.2125,62,95,66.66666667,68.73583333
344,51.5875,77.94375,31,14.7,51.85185185,45.41662037
345,72.475,41.2875,98,6.7,48.14814815,53.32212963
346,19.625,23.4125,95,68.4,92.59259259,59.80601852
347,40.15,79.03125,87,11.9,85.18518519,60.65328704
348,49.2125,33.76875,28,14.3,77.77777778,40.61180556
349,70.5375,94.54375,56,48.8,66.66666667,67.30958333
350,64.1,60.6375,84,48,11.11111111,53.56972222
351,37.6375,40.24375,47,47.3,92.59259259,52.95476852
352,34.9875,32.975,35,30.3,11.11111111,28.87472222
353,52.075,66.1375,86,95.9,88.88888889,77.80027778
354,99.6125,9.625,57,74.1,37.03703704,55.47490741
355,65.7,72.10625,48,44.8,66.66666667,59.45458333
356,22.35,72.16875,69,85.5,59.25925926,61.65560185
357,52.1,59.2875,75,99.5,29.62962963,63.10342593
358,58.4875,10.44375,50,79.6,14.81481481,42.66921296
359,68.875,30.03125,60,24.7,14.81481481,39.68421296
360,70.5,76.34375,33,77.7,81.48148148,67.8050463
361,65.575,34.05,49,72.1,29.62962963,50.07092593
362,35.25,75.76875,89,7.8,74.07407407,56.37856481
363,79.475,26.0375,60,58.7,96.2962963,64.10175926
364,43.7625,88.8625,72,21.1,55.55555556,56.25611111
365,26.2,93.89375,34,60.9,96.2962963,62.25800926
366,64.625,71.65,33,75.5,55.55555556,60.06611111
367,70.7875,85.325,70,50,37.03703704,62.62990741
368,18.3125,24.93125,22,48.4,66.66666667,36.06208333
369,41.6375,77.2625,87,63,96.2962963,73.03925926
370,25.9125,96.74375,98,96.6,40.74074074,71.59939815
371,47.3875,71.16875,99,18.3,11.11111111,49.39347222
372,34.325,77.09375,90,1.8,62.96296296,53.23634259
373,23.7375,81.70625,60,47.9,14.81481481,45.63171296
374,16.5125,75.35625,54,45.5,40.74074074,46.42189815
375,69.525,54.94375,70,52.5,66.66666667,62.72708333
376,58.0125,62.45625,93,1.6,88.88888889,60.79152778
377,98.525,47.9125,32,64.9,66.66666667,62.00083333
378,78.7625,69.41875,56,15.1,51.85185185,54.22662037
379,59.6,80.1,71,93.5,25.92592593,66.02518519
380,93.9625,43.03125,36,38.8,18.51851852,46.0624537
381,82.5125,55.775,99,40.6,62.96296296,68.17009259
382,64.2625,30.91875,20,20.7,51.85185185,37.54662037
383,77.0625,23.575,82,55.3,81.48148148,63.8837963
384,41.0625,60.19375,33,84.1,96.2962963,62.93050926
385,60.325,27.3375,28,72.7,81.48148148,53.9687963
386,71.2625,54.44375,94,80.5,14.81481481,63.00421296
387,27.6125,49.49375,22,7.9,48.14814815,31.03087963
388,95.2375,57.04375,26,80.9,59.25925926,63.68810185
389,37.9375,95.2625,23,90.7,81.48148148,65.6762963
390,69.7125,77.64375,93,76.9,77.77777778,79.00680556
391,33.9625,36.7125,47,63.4,22.22222222,40.65944444
392,88,30.23125,12,35.8,33.33333333,39.87291667
393,27.9625,20.375,99,58.2,40.74074074,49.25564815
394,42.4,88.81875,18,37.5,77.77777778,52.89930556
395,92.3625,83.71875,16,24.8,25.92592593,48.56143519
396,94.95,39.7375,20,10.4,100,53.0175
397,60.3625,92.36875,65,37.7,18.51851852,54.7899537
398,38.8375,58.80625,25,72.7,88.88888889,56.84652778
399,58.825,17.775,85,64.4,88.88888889,62.97777778
400,48.6375,10.475,73,35.5,100,53.5225
401,64.8875,84.075,50,67.9,66.66666667,66.70583333
402,29.95,23.99375,34,34.5,25.92592593,29.67393519
403,39.325,68.88125,89,50.9,81.48148148,65.9175463
404,51.3,100,50,48.8,66.66666667,63.35333333
405,48.2125,68.93125,57,73,48.14814815,59.05837963
406,20.2125,91.7,83,13.1,18.51851852,45.3062037
407,24.025,43.975,76,26.1,55.55555556,45.13111111
408,34.0625,95.89375,32,87.1,55.55555556,60.92236111
409,47.375,6.35,36,78.9,74.07407407,48.53981481
410,69.425,72.8375,48,64.6,44.44444444,59.86138889
411,13.2875,89.13125,33,73.7,81.48148148,58.1200463
412,24.475,92.44375,100,61.2,25.92592593,60.80893519
413,44.6875,35.1875,77,74,14.81481481,49.13796296
414,21.3375,54.8,19,86.2,66.66666667,49.60083333
415,45.2375,57.38125,76,18.8,40.74074074,47.63189815
416,97.0625,62.75,55,10.9,85.18518519,62.17953704
417,81.45,27.375,33,54.4,55.55555556,50.35611111
418,98.925,88.89375,78,61.8,11.11111111,67.74597222
419,51.3875,58.95,62,37.2,100,61.9075
420,73.6375,20.78125,62,77.9,44.44444444,55.75263889
421,57.45,96.78125,98,29.4,33.33333333,62.99291667
422,51.3375,76.725,94,60.3,59.25925926,68.32435185
423,77.0875,47.1,45,71.5,92.59259259,66.65601852
424,57.6625,39.975,88,61,85.18518519,66.36453704
425,82.0125,23.75,53,59.9,62.96296296,56.32509259
426,92.775,11.75,69,97.6,85.18518519,71.26203704
427,56.575,86.41875,37,18.3,85.18518519,56.69578704
428,93.35,95.6375,36,12.3,81.48148148,63.7537963
429,73.7375,20,40,35.1,44.44444444,42.65638889
430,14.3125,95.8,48,70,11.11111111,47.84472222
431,37.125,11.8125,12,83.4,66.66666667,42.20083333
432,45.5125,62.26875,33,14.1,92.59259259,49.49476852
433,98.8125,96.00625,96,31.9,62.96296296,77.13634259
434,85.3125,80.96875,16,64.3,66.66666667,62.64958333
435,16.725,36.45,97,31.4,81.48148148,52.6112963
436,63.325,24.5125,27,4.6,62.96296296,36.48009259
437,30.725,96.78125,85,8,85.18518519,61.13828704
438,91.6375,34.81875,45,28.1,44.44444444,48.80013889
439,33.8375,13.725,79,67.8,74.07407407,53.68731481
440,19.25,25.1375,75,75.8,11.11111111,41.25972222
441,74.5125,28.59375,20,18.4,48.14814815,37.93087963
442,63.8,72.9875,37,12.7,88.88888889,55.07527778
443,59.9,46.6625,56,89.4,40.74074074,58.54064815
444,66.4,76.625,83,10,48.14814815,56.83462963
445,16.4375,48.35,34,88.5,85.18518519,54.49453704
446,25.25,96.525,83,78.2,37.03703704,64.00240741
447,62.125,79.61875,11,99.3,22.22222222,54.85319444
448,57.225,71.74375,79,7.6,55.55555556,54.22486111
449,28.375,15.36875,79,95.8,88.88888889,61.48652778
450,38.4125,53.91875,88,55.7,51.85185185,57.57662037
451,36.1,47.46875,92,30.2,55.55555556,52.26486111
452,80.25,28.8375,47,36,77.77777778,53.97305556
453,84.525,26.85,25,86.7,25.92592593,49.80018519
454,92.5625,54.29375,30,51.6,22.22222222,50.13569444
455,30.0625,10.48125,47,80.6,29.62962963,39.55467593
456,40.5125,64.75,86,61.4,70.37037037,64.60657407
457,91.675,93.99375,96,32.7,77.77777778,78.42930556
458,35.8375,14.475,66,41.3,14.81481481,34.48546296
459,38.2,73.1375,99,3.1,96.2962963,61.94675926
460,77.725,38.90625,53,86.1,40.74074074,59.29439815
461,86.625,85.7875,24,39.7,37.03703704,54.62990741
462,34.4125,54.68125,55,52.6,66.66666667,52.67208333
463,82.6125,63.15,22,81.7,44.44444444,58.78138889
464,43.4375,96.5625,52,76.3,29.62962963,59.58592593
465,91.1,7.625,96,13.2,33.33333333,48.25166667
466,15.05,99.78125,100,35.9,33.33333333,56.81291667
467,27.9,50.15625,33,91.3,81.48148148,56.7675463
468,58.4875,81.75,18,72.4,70.37037037,60.20157407
469,16.475,36.2125,43,38.5,77.77777778,42.39305556
470,73.9,72.48125,40,68.4,51.85185185,61.32662037
471,99.475,72.75625,42,93.1,48.14814815,71.09587963
472,25.1,78.93125,34,37.9,59.25925926,47.03810185
473,80.9,99.9125,65,65.7,62.96296296,74.89509259
474,29.9125,8.3625,92,15.7,18.51851852,32.8987037
475,91.3875,14.375,10,45.5,88.88888889,50.03027778
476,71.3375,34.64375,76,90.7,40.74074074,62.68439815
477,77.325,92.6875,58,52.3,14.81481481,59.02546296
478,75.4625,76.93125,34,63.8,14.81481481,53.00171296
479,89.3625,34.7875,37,12.3,51.85185185,45.06037037
480,45.525,34.66875,42,90,55.55555556,53.54986111
481,63.375,76.5625,61,46.1,44.44444444,58.29638889
482,25.575,43.55625,100,5,11.11111111,37.04847222
483,57.0625,60,56,23.7,29.62962963,45.27842593
